Zeilenbeschriftungen;Anzahl von DC_LANGUAGE
français;170367
anglais;18768
aucun contenu linguistique;2592
espagnol;1449
indéterminé;671
multilingue;297
allemand;206
portugais;134
italien;133
roumain;130
chinois;93
russe;71
inuktitut;40
algonquiennes, langues;39
arabe;36
créole haîtien;26
catalan;25
néerlandais;23
coréen;14
cree;14
turc;13
suédois;12
polonais;11
créoles et pidgins français, autre;11
vietnamien;10
japonais;10
hongrois;8
lituanien;6
malais;6
serbe;6
bulgare;6
norvégien;5
hébreu;5
iroquoises, langues;4
persan;4
danois;4
grec moderne (1453- );4
tchèque;3
espéranto;3
latin;3
croate;3
macédonien;3
créoles et pidgins divers;3
sanskrit;3
biélorusse;2
langage par signes;2
grec ancien (jusqu'à 1453);2
slovène;2
kabyle;2
slaves, autres langues;2
ukrainien;2
indiennes d'Amérique du Nord, autres;2
géorgien;1
azéri;1
letton;1
rwanda;1
occitan (après 1500);1
judéo-espagnol;1
sami du Nord;1
altaïque, langue (autre);1
bengali;1
frioulan;1
ourdou;1
yiddish;1
galicien;1
tamoul;1
swahili;1
wolof;1
albanais;1
tibétain;1
languedocien (après 1500);1
Gesamtergebnis;195309
